"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-01","5.59",,,,,"47","37",,,,,,,"    1",,,,,,,,,,,"    1","    1",,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-02","10.51",,,,,"45","36",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-03","8.95",,,,,"39","33",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-04","8.05",,,,,"36","30",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-05","8.05",,,,,"42","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-06","8.05",,,,,"38","34",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-07","8.72",,,,,"47","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-08","11.86",,,,,"47","37",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-09","13.42",,,,,"47","24",,,,,,,,,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-10","13.42",,,,,"27","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-11","11.63",,,,,"26","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-12","11.18",,,,,"34","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-13","13.20",,,,,"36","19",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-14","12.97",,,,,"36","28",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-15","10.07",,,,,"37","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-16","8.28",,,,,"37","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-17","10.74",,,,,"44","29",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-18","9.84",,,,,"40","37",,,,,,,"    1",,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-19","8.05",,,,,"45","35",,,,,,,,"    1",,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-20","13.20",,,,,"36","32",,,,,,,,,,"    1",,,,,,,,"    1",,,"    1","    1","    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-21","13.20",,,,,"34","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-22","9.40",,,,,"42","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-23","7.38",,,,,"44","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-24","8.05",,,,,"48","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-25","11.18",,,,,"55","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-26","14.09",,,,,"76","50",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-27","14.09",,,,,"80","63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-28","12.75",,,,,"70","55",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-29","7.83",,,,,"70","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-30","12.30",,,,,"82","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-03-31","10.51",,,,,"75","63",,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-01","13.20",,,,"54","63","44",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-02","12.08",,,,"47","51","42",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-03","10.29",,,,"43","45","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-04","12.53",,,,"44","52","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-05","6.49",,,,"45","58","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-06","3.36",,,,"44","59","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-07","7.38",,,,"47","58","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-08","10.74",,,,"51","57","44",,,,,,,,,,,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-09","14.76",,,,"45","47","42",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-10","10.29",,,,"46","56","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-04-11","4.92",,,,"47","61","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,
